Course Code,Institution,INSTITUTION,EOS,Mid,
CW808,"Institute of Technology, Carlow",Media and Public Relations,248,307,
GC400,Griffith College,Business Studies (Dublin),246,297,
GC407,Griffith College,"Business Studies (Marketing, Dublin)",246,330,
SG148,"Institute of Technology, Sligo",Tourism with Event Management,246,282,
DB568,Dublin Business School,Law,245,308,
TA222,Technological University Dublin Tallaght Campus,Mechanical Engineering,243,302,
TA226,Technological University Dublin Tallaght Campus,Engineering Software,243,304,
TA323,Technological University Dublin Tallaght Campus,Computing with IT Management,243,309,
DB500,Dublin Business School,Computing,242,320,
DB503,Dublin Business School,Computing (Software Development),242,282,
GA282,Galway-Mayo Institute of Technology,Heritage Studies,238,308,
DL835,"Dun Laoghaire Institute of Art, Design and Technology",Creative Media Technologies,237,289,
TA027,Technological University Dublin Tallaght Campus,Botanical Cuisine,236,273,
TA223,Technological University Dublin Tallaght Campus,Sustainable Energy Engineering,236,305,
LC266,Limerick Institute of Technology,Drug and Medicinal Product Analysis,236,299,
CT125,CCT College Dublin,Information Technology,235,280,
DB527,Dublin Business School,Applied Social Care,235,288,
TA023,Technological University Dublin Tallaght Campus,Advertising and Marketing Communications,235,299,
TA225,Technological University Dublin Tallaght Campus,Automation Engineering,235,288,
WD194,Waterford Institute of Technology,Culinary Arts,235,331,
AC120,American College,International Business,234,269,
DB510,Dublin Business School,Audio Production and Music Project Management,233,293,
DB512,Dublin Business School,Business Studies,229,301,
ID001,ICD Business School,Accounting and Finance,229,291,
TA125,Technological University Dublin Tallaght Campus,International Business,229,300,
LC517,Limerick Institute of Technology,Creative Media and Design (Clonmel),229,273,
GC230,Griffith College,Computing Science (Cork),228,327,
GA887,Galway-Mayo Institute of Technology,History and Geography - Mayo Campus,228,296,
DB504,Dublin Business School,Computing (Web and Mobile Technology),227,269,
GC450,Griffith College,Journalism and Visual Media (Dublin),227,307,
DB517,Dublin Business School,Event Management,226,327,
LC411,Limerick Institute of Technology,Marketing and Management (Thurles),226,300,
DB515,Dublin Business School,Business Studies (Human Resource Management),225,288,
DB521,Dublin Business School,Accounting and Finance,225,271,
GC403,Griffith College,Law (Dublin),225,308,
GA380,Galway-Mayo Institute of Technology,International Hotel Management,225,289,
GA382,Galway-Mayo Institute of Technology,Culinary and Gastronomic Science,225,316,
WD200,Waterford Institute of Technology,Arts (options),221,296,
DB531,Dublin Business School,Marketing,220,288,
TA028,Technological University Dublin Tallaght Campus,Digital Marketing Technologies,220,313,
GA385,Galway-Mayo Institute of Technology,Retail Management,219,319,
LC234,Limerick Institute of Technology,Interactive Digital Media,219,288,
TA122,Technological University Dublin Tallaght Campus,Management,218,297,
TA224,Technological University Dublin Tallaght Campus,Biomedical Design,218,324,
TA328,Technological University Dublin Tallaght Campus,Computing with Language (French/German/Spanish),218,317,
TA329,Technological University Dublin Tallaght Campus,Computing with Data Analytics,218,296,
DL836,"Dun Laoghaire Institute of Art, Design and Technology",Creative Computing,217,326,
GC402,Griffith College,"Business Studies (HRM, Dublin)",217,290,
GC430,Griffith College,Computing Science (Dublin),217,269,
TA024,Technological University Dublin Tallaght Campus,Early Childhood Care and Education,217,307,
LC297,Limerick Institute of Technology,Community Development,217,269,
LC392,Limerick Institute of Technology,Beauty and Spa Management,217,318,
DB566,Dublin Business School,Social Science,216,308,
LC226,Limerick Institute of Technology,Enterprise and Innovation,216,298,
DL821,"Dun Laoghaire Institute of Art, Design and Technology","English, Media and Cultural Studies",211,317,
DB518,Dublin Business School,Marketing (Digital Media),210,289,
GA885,Galway-Mayo Institute of Technology,Outdoor Education - Mayo Campus,210,298,
WD091,Waterford Institute of Technology,Hospitality Management,210,281,
DL822,"Dun Laoghaire Institute of Art, Design and Technology",Arts Management,209,319,
GA384,Galway-Mayo Institute of Technology,Event Management with Public Relations,209,289,
LC402,Limerick Institute of Technology,Social Care Work (Thurles),209,290,
DB562,Dublin Business School,Psychology,208,310,
TA026,Technological University Dublin Tallaght Campus,International Hospitality and Tourism Management,208,269,
TA123,Technological University Dublin Tallaght Campus,Marketing Management,207,284,
PC410,"Carlow College, St. Patrick`s",Arts and Humanities (fulfils Teaching Council requirements),203,289,
TA121,Technological University Dublin Tallaght Campus,Accounting and Finance,202,328,
TA322,Technological University Dublin Tallaght Campus,Computing,200,294,
DB567,Dublin Business School,Film,192,295,
GC401,Griffith College,Accounting and Finance (Dublin),181,309,
PC411,"Carlow College, St. Patrick`s",English and History (fulfils Teaching Council requirements),168,289,
GC462,Griffith College,Design Communication (Dublin),,,
ID003,ICD Business School,Business Studies with Chinese,,,
TL842,"Institute of Technology, Tralee",Construction Management,,,
TL847,"Institute of Technology, Tralee",Manufacturing Engineering,,,
